player_name,player_id,season,ws,verified
Stephen Curry,201939,2026,4.1,true
Tim Duncan,1495,1998,12.8,true
Tim Duncan,1495,1999,8.7,true
Tim Duncan,1495,2000,13.0,true
Tim Duncan,1495,2001,13.2,true
Tim Duncan,1495,2002,17.8,true
Tim Duncan,1495,2003,16.5,true
Tim Duncan,1495,2004,13.1,true
Tim Duncan,1495,2005,11.2,true
Tim Duncan,1495,2006,10.8,true
Tim Duncan,1495,2007,13.0,true
Tim Duncan,1495,2008,11.1,true
Tim Duncan,1495,2009,10.1,true
Tim Duncan,1495,2010,10.9,true
Tim Duncan,1495,2011,7.7,true
Tim Duncan,1495,2012,5.9,true
Tim Duncan,1495,2013,8.3,true
Tim Duncan,1495,2014,7.4,true
Tim Duncan,1495,2015,9.6,true
Tim Duncan,1495,2016,5.2,true
Wilt Chamberlain,76375,1960,17.0,true
Wilt Chamberlain,76375,1961,18.8,true
Wilt Chamberlain,76375,1962,23.1,true
Wilt Chamberlain,76375,1963,20.9,true
Wilt Chamberlain,76375,1964,25.0,true
Wilt Chamberlain,76375,1965,15.1,true
Wilt Chamberlain,76375,1966,21.4,true
Wilt Chamberlain,76375,1967,21.9,true
Wilt Chamberlain,76375,1968,20.4,true
Wilt Chamberlain,76375,1969,14.7,true
Wilt Chamberlain,76375,1970,2.3,true
Wilt Chamberlain,76375,1971,12.6,true
Wilt Chamberlain,76375,1972,15.8,true
Wilt Chamberlain,76375,1973,18.2,true
