player_id,season,award,all_nba_team
76003,1988,ring,
76003,1989,all_star,
76375,1960,all_nba,1
76375,1960,all_star,
76375,1960,mvp,
76375,1961,all_nba,1
76375,1961,all_star,
76375,1962,all_nba,1
76375,1962,all_star,
76375,1963,all_nba,2
76375,1963,all_star,
76375,1964,all_nba,1
76375,1964,all_star,
76375,1965,all_nba,2
76375,1965,all_star,
76375,1966,all_nba,1
76375,1966,all_star,
76375,1966,mvp,
76375,1967,all_nba,1
76375,1967,all_star,
76375,1967,mvp,
76375,1967,ring,
76375,1968,all_nba,1
76375,1968,all_star,
76375,1968,mvp,
76375,1969,all_star,
76375,1971,all_star,
76375,1972,all_nba,2
76375,1972,all_star,
76375,1972,finals_mvp,
76375,1972,ring,
76375,1973,all_star,
77142,1980,all_star,
77142,1980,finals_mvp,
77142,1980,ring,
77142,1982,all_nba,2
77142,1982,all_star,
77142,1982,finals_mvp,
77142,1982,ring,
77142,1983,all_nba,1
77142,1983,all_star,
77142,1984,all_nba,1
77142,1984,all_star,
77142,1985,all_nba,1
77142,1985,all_star,
77142,1985,ring,
77142,1986,all_nba,1
77142,1986,all_star,
77142,1987,all_nba,1
77142,1987,all_star,
77142,1987,finals_mvp,
77142,1987,mvp,
77142,1987,ring,
77142,1988,all_nba,1
77142,1988,all_star,
77142,1988,ring,
77142,1989,all_nba,1
77142,1989,all_star,
77142,1989,mvp,
77142,1990,all_nba,1
77142,1990,all_star,
77142,1990,mvp,
77142,1991,all_nba,1
77142,1991,all_star,
77449,1978,all_star,
77449,1979,all_nba,1
77449,1979,all_star,
77449,1979,mvp,
77449,1980,all_nba,2
77449,1980,all_star,
77449,1981,all_nba,2
77449,1981,all_star,
77449,1982,all_nba,1
77449,1982,all_star,
77449,1982,mvp,
77449,1983,all_nba,1
77449,1983,all_star,
77449,1983,finals_mvp,
77449,1983,mvp,
77449,1983,ring,
77449,1984,all_nba,2
77449,1984,all_star,
77449,1985,all_nba,1
77449,1985,all_star,
77449,1986,all_star,
77449,1987,all_nba,2
77449,1987,all_star,
77449,1988,all_star,
77449,1989,all_star,
78049,1957,ring,
78049,1958,all_nba,2
78049,1958,all_star,
78049,1958,mvp,
78049,1959,all_nba,1
78049,1959,all_star,
78049,1959,ring,
78049,1960,all_nba,2
78049,1960,all_star,
78049,1960,ring,
78049,1961,all_nba,2
78049,1961,all_star,
78049,1961,mvp,
78049,1961,ring,
78049,1962,all_nba,2
78049,1962,all_star,
78049,1962,mvp,
78049,1962,ring,
78049,1963,all_nba,1
78049,1963,all_star,
78049,1963,mvp,
78049,1963,ring,
78049,1964,all_nba,2
78049,1964,all_star,
78049,1964,ring,
78049,1965,all_nba,1
78049,1965,all_star,
78049,1965,mvp,
78049,1965,ring,
78049,1966,all_nba,2
78049,1966,all_star,
78049,1966,ring,
78049,1967,all_nba,2
78049,1967,all_star,
78049,1968,all_nba,2
78049,1968,all_star,
78049,1968,ring,
78049,1969,all_star,
78049,1969,ring,
78497,1961,all_star,
78497,1962,all_nba,1
78497,1962,all_star,
78497,1963,all_nba,1
78497,1963,all_star,
78497,1964,all_nba,1
78497,1964,all_star,
78497,1965,all_nba,1
78497,1965,all_star,
78497,1966,all_nba,1
78497,1966,all_star,
78497,1967,all_nba,1
78497,1967,all_star,
78497,1968,all_nba,2
78497,1968,all_star,
78497,1969,all_nba,2
78497,1969,all_star,
78497,1969,finals_mvp,
78497,1970,all_nba,1
78497,1970,all_star,
78497,1971,all_nba,1
78497,1971,all_star,
78497,1972,all_nba,1
78497,1972,all_star,
78497,1972,ring,
78497,1973,all_nba,1
78497,1973,all_star,
78497,1974,all_star,
201142,2010,all_nba,1
201142,2010,all_star,
201142,2011,all_nba,1
201142,2011,all_star,
201142,2012,all_nba,1
201142,2012,all_star,
201142,2013,all_nba,1
201142,2013,all_star,
201142,2014,all_nba,1
201142,2014,all_star,
201142,2014,mvp,
201142,2015,all_star,
201142,2016,all_nba,2
201142,2016,all_star,
201142,2017,all_nba,2
201142,2017,all_star,
201142,2017,finals_mvp,
201142,2017,ring,
201142,2018,all_nba,1
201142,2018,all_star,
201142,2018,finals_mvp,
201142,2018,ring,
201142,2019,all_nba,2
201142,2019,all_star,
201142,2021,all_star,
201142,2022,all_nba,2
201142,2022,all_star,
201142,2023,all_star,
201142,2024,all_nba,2
201142,2024,all_star,
201142,2025,all_star,
201142,2026,all_nba,2
201142,2026,all_star,
201939,2014,all_nba,2
201939,2014,all_star,
201939,2015,all_nba,1
201939,2015,all_star,
201939,2015,mvp,
201939,2015,ring,
201939,2016,all_nba,1
201939,2016,all_star,
201939,2016,mvp,
201939,2017,all_nba,2
