player_id,season,team_abbr,gp,mp,pts,trb,ast,fgm,fga,ftm,fta,fg3m,fg3a,stl,blk,tov,po_gp,po_mp,po_pts,po_trb,po_ast,team_srs,ws
893,1997,CHI,82,3109,2431,482,352,920,1892,480,576,111,297,140,44,166,19,804,590,150,91,10.7026,18.3
893,1998,CHI,82,3181,2357,475,283,881,1893,565,721,30,126,141,45,185,21,872,680,107,74,7.2446,15.8
893,2002,WAS,60,2089,1375,339,310,551,1324,263,333,10,53,85,26,162,,,,,,-1.5764,3.3
893,2003,WAS,82,3031,1640,497,311,679,1527,266,324,16,55,123,39,173,,,,,,-1.4672,6.2
977,1997,LAL,71,1102,539,132,91,176,422,136,166,51,136,49,23,112,9,133,74,11,11,3.6496,1.8
977,1998,LAL,79,2056,1220,242,199,391,913,363,457,75,220,74,40,157,11,220,96,21,16,6.8809,6.3
977,1999,LAL,50,1896,996,264,190,362,779,245,292,27,101,72,50,157,8,315,158,55,37,2.6746,5.2
977,2000,LAL,66,2524,1485,416,323,554,1183,331,403,46,144,106,62,182,22,857,465,98,97,8.4138,10.6
977,2001,LAL,68,2783,1938,399,338,701,1510,475,557,61,200,114,43,220,16,694,471,116,97,3.7426,11.3
977,2002,LAL,80,3065,2019,441,438,749,1597,488,589,33,132,118,35,223,19,833,506,111,87,7.1451,12.7
977,2003,LAL,82,3401,2461,564,481,868,1924,601,713,124,324,181,67,288,12,531,385,61,62,2.7081,14.9
977,2004,LAL,65,2452,1557,359,330,516,1178,454,533,71,217,112,28,171,22,973,539,104,121,4.3496,10.7
977,2005,LAL,66,2689,1819,392,398,573,1324,542,664,131,387,86,53,270,,,,,,-2.3276,8.1
977,2006,LAL,80,3277,2832,425,360,978,2173,696,819,180,518,147,30,250,7,314,195,44,36,2.5252,15.3
977,2007,LAL,77,3140,2430,439,413,813,1757,667,768,137,398,111,36,255,5,215,164,26,22,0.2381,13.0
977,2008,LAL,82,3192,2323,517,441,775,1690,623,742,150,415,151,40,257,21,863,633,119,117,7.3446,13.8
977,2009,LAL,82,2960,2201,429,399,800,1712,483,564,118,336,120,37,210,23,940,695,123,126,7.1129,12.7
977,2010,LAL,73,2835,1970,391,365,716,1569,439,541,99,301,113,20,233,23,923,671,138,126,4.782,9.4
977,2011,LAL,82,2779,2078,419,388,740,1639,483,583,115,356,99,12,243,10,354,228,34,33,6.0082,10.3
977,2012,LAL,58,2232,1616,313,264,574,1336,381,451,87,287,69,18,204,12,476,360,58,52,1.9632,6.2
977,2013,LAL,78,3013,2133,433,469,738,1595,525,626,132,407,106,25,287,,,,,,1.4837,10.9
977,2014,LAL,6,177,83,26,38,31,73,18,21,3,16,7,1,34,,,,,,-5.3325,-0.4
977,2015,LAL,35,1207,782,199,197,266,713,196,241,54,184,47,7,128,,,,,,-6.1667,0.2
977,2016,LAL,66,1863,1161,247,184,398,1113,232,281,133,467,62,13,129,,,,,,-8.9166,-0.4
1449,1980,BOS,82,2955,1745,852,370,693,1463,301,360,58,143,143,53,263,9,372,192,101,42,7.3678,11.2
1449,1981,BOS,82,3239,1741,895,451,719,1503,283,328,20,74,161,63,289,17,750,373,238,103,6.0513,10.8
1449,1982,BOS,77,2923,1761,837,447,711,1414,328,380,11,52,143,66,254,12,490,214,150,67,6.3478,12.5
1449,1983,BOS,79,2982,1867,870,458,747,1481,351,418,22,77,148,71,240,6,240,123,75,41,5.3407,14.0
1449,1984,BOS,79,3028,1908,796,520,758,1542,374,421,18,73,144,69,237,23,961,632,252,136,6.4222,13.6
